animeTitle	Aoi Sekai no Chuushin de
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.73
animeUsers	20290
animeRank	
animePopularity	2608
animeDescription	Segua Kingdom has been losing the war against Ninterdo Empire but the tables are turned by the appearance of a boy called Gear. All the characters are parodies of Nintendo or Sega games such as Sonic the Hedgehog, Super Mario Bros., The Legend of Zelda etc.
animeRelated	['Aoi Sekai no Chuushin de']
animeCharacters	['Zalpha, Opal', 'Gear', 'Tejilof', 'Nel', 'Til', 'Crystal', 'Alex', 'Bays', 'Zelig', 'Marcus']
animeVoices	['Kitta, Izumi', 'Okamoto, Nobuhiko', 'Shimono, Hiro', 'Mimori, Suzuko', 'Uchiyama, Kouki', 'Narumi, Kyoko', 'Koyama, Rikiya', 'Ooshita, Kouta', 'Koyasu, Takehito', 'Ono, Atsushi']
animeStaff	[['Yanagisawa, Tetsuya', 'Director'], ['Tsujitani, Kouji', 'Sound Director'], ['Crimson', 'Script, Theme Song Lyrics, Executive Producer, Original Creator'], ['Okamoto, Nobuhiko', 'Theme Song Performance']]
