animeTitle	Koe no Katachi Specials
animeType	Special
animeNumEpisode	2
releaseDate	2017-05-17 00:00:00
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	4666
animeRank	
animePopularity	3989
animeDescription	"The limited first edition of the Blu-ray Disc for Kyoto Animation's film adaptation of Yoshitoki Ooima's A Silent Voice manga includes two bonus new animation videos of AIKO's theme song Koi wo Shita no wa and Kensuke Ushio's in-film track Speed of Youth.

Kyoto Animation produced the videos inspired by the songs, and the film's director Naoko Yamada personally handled the videos' storyboards and technical direction.

(Source: ANN)"
animeRelated	['Koe no Katachi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
