animeTitle	Unsweet: Netorare Ochita Onna-tachi
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.46
animeUsers	2465
animeRank	
animePopularity	6427
animeDescription	Jun and his teacher Katsuko Kurose are in love with each other. One day, Kazuya Shinohara sees them together in a classroom and blackmails Katsuko to have sex with him. She begins to enjoy it more and more. Will she hold on?
animeRelated	['Unsweet: Netorare Ochita Onna-tachi']
animeCharacters	['Kurose, Katsuko', 'Shinohara, Kazuya', 'Yoshioka , Jun']
animeVoices	['Mizusawa, Kei']
animeStaff	[['Raika, Ken', 'Director'], ['Doshida, Tomoaki', 'Storyboard'], ['Tanaka, Aji', 'Original Character Design']]
