animeTitle	Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.75
animeUsers	1770
animeRank	
animePopularity	7478
animeDescription	On their way to a singing contest, Mai and Saki meet a mysterious man looking for the oldest clock in town. It turns out that this clock is a portal to the World of Clocks, and the mysterious man is a servant of Dark Fall who wants to stop time to destroy the world. With the help of the clock spirits, Pretty Cure must fight to escape his perfect maze and start time flowing again. Takes place during the second half of Futari wa Precure Splash☆Star.
animeRelated	['Futari wa Precure: Splash☆Star']
animeCharacters	['Hyuuga, Saki', 'Mishou, Mai', 'Flappy', 'Moop', 'Choppy', 'Minutes', 'Hours', 'Fuup', 'Uchiyae, Yuka', 'Mukai, Aki']
animeVoices	['Kimoto, Orie', 'Enomoto, Atsuko', 'Yamaguchi, Kappei', 'Fuchizaki, Yuriko', 'Matsuki, Miyu', 'Tarako', 'Kikuchi, Masami', 'Okamura, Akemi', 'Uchiyae, Yuka', 'Mukai, Aki']
animeStaff	[['Shida, Naotoshi', 'Key Animation'], ['Satou, Naoki', 'Music'], ['Toudou, Izumi', 'Original Creator'], ['Kawamura, Toshie', 'Character Design']]
