animeTitle	b'Sword Art Online: Sword Art Offline - Extra Edition'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.57
animeUsers	24740
animeRank	
animePopularity	
animeDescription	b'Extra episode of Sword Art Offline included in the Sword Art Online: Extra Edition Blu-ray and DVD.'
animeRelated	[b'Sword Art Online: Sword Art Offline', b'Sword Art Online: Extra Edition', b'Sword Art Online II: Sword Art Offline II']
animeCharacters	[b'Kirigaya, Kazuto', b'Yuuki, Asuna', b'Yui', b'Kirigaya, Suguha', b'Tsuboi, Ryoutarou', b'Ayano, Keiko', b'Shinozaki, Rika']
animeVoices	[b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nItou, Kanae\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawahara, Reki\n\nOriginal Creator\n\n']
