animeTitle	b'Karakuri Kengou Den Musashi Lord'
animeType	b'TV'
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'It is the time of civil war. Zipangu is a country where people live together with gimmick warriors, a kind of super human robot. There, people and gimmick warriors struggle to seize power. Musashi, a Samurai gimmick warrior, departs to on a quest to become the best Samurai warrior. Musashi thrives in the series of battles, encountering with many heroes and villains including his lifelong rival, Kojiro, an expert swordsman.  Later, Mushashi and Kojiro are sent by their General to escort the Princess, a granddaughter of the general. The princess is spoiled and difficult, so their journey becomes series of misadventures. Soon, they are caught up in a battle to seize control of the Country.'
animeRelated	[]
animeCharacters	[b'Musashi']
animeVoices	[b'\nNozawa, Masako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShimizu, Katsunori\n\nSound Director\n\n', b'\nShinbou, Akiyuki\n\nEpisode Director, Animation Director\n\n', b'\nAbe, Noriyuki\n\nEpisode Director, Storyboard\n\n', b'\nShigino, Akira\n\nEpisode Director, Script, Storyboard, Chief Animation Director\n\n']
