animeTitle	Deji Meets Girl
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	1517
animeRank	
animePopularity	4115
animeDescription	"Maise Higa is a listless first-year high school girl who works part-time at the front desk of her family's hotel in Okinawa, meets an ""Ichirou Suzuki,"" a mysterious youth who came alone from Tokyo as a hotel guest. Since Suzuki's arrival, ""dëji"" things have been happening around Maise, like fish swimming around the room or a giant banyan tree smashing through the hotel ceiling. (""Dëji"" is an Okinawan word that means ""totally"" or ""very."")

(Source: ANN)"
animeRelated	[]
animeCharacters	['Suzuki, Ichirou', 'Higa, Maise', 'Higa, Teruko', 'Higa, Kaisei']
animeVoices	['Yasuno, Kiyono', 'Tani, Ikuko', 'Miyake, Kenta']
animeStaff	[['Tazawa, Ushio', 'Director, Character Design'], ['Naya, Ryousuke', 'Sound Director'], ['Tsujita, Kunio', 'Color Design'], ['Nakamura, Hiroshi', 'Music']]
