animeTitle	Ganbare Chibi Godzilla
animeType	ONA
animeNumEpisode	1
releaseDate	2018-10-23 00:00:00
endDate	
animeNumMembers	
animeScore	5.33
animeUsers	134
animeRank	
animePopularity	14497
animeDescription	"A video promotion for Chiharu Sakazaki's Ganbare Chibi Godzilla (Do Your Best, Chibi Godzilla) picture book. Chibi Godzilla introduces himself as ""big and strong"" but also describes his crybaby tendencies. The video ends with Chibi Godzilla producing a fiery display that pleases his friends. 

(Source: ANN)"
animeRelated	['Chibi Godzilla', 'Tadaima! Chibi Godzilla']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
