animeTitle	"b""I'll/CKBC"""
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.25
animeUsers	1938
animeRank	
animePopularity	
animeDescription	"b""Two boys, Tachibana and Hiiragi were once brutal rivals in the game of basketball. Hiiragi soon transfers into Tachibana's school and basketball team. They begin as team-mates, but with Hiiragi's family pushing him to play on a better team. Tachibana and Hiiragi must now play against each other. \n\n(Source: ANN)"""
animeRelated	"[b""I'll""]"
animeCharacters	[b'Tachibana, Akane', b'Hiiragi, Hitonari', b'Yoshikawa, Sumire', b'Hiiragi, Takuya', b'Hiiragi, Masahito', b'Horii, Mika', b'Yamazaki, Yoshiki', b'Kanemoto, Kouji', b'Takayanagi, Gaku', b'Minefuji, Kyouko']
animeVoices	[b'\nKaneko, Noboru\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nYuzuki, Ryouka\nJapanese\n', b'\nNojima, Kenji\nJapanese\n', b'\nKishino, Yukimasa\nJapanese\n', b'\nKobayashi, Sanae\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nSaiga, Mitsuki\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawasaki, Itsurou\n\nDirector, Storyboard\n\n', b'\nELLEGARDEN\n\nTheme Song Performance\n\n', b'\nAsada, Hiroyuki\n\nOriginal Creator\n\n', b'\nIke, Yoshihiro\n\nMusic\n\n']
