animeTitle	b'Shino-sensei no Yuuwaku Jugyou'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.98
animeUsers	936
animeRank	
animePopularity	
animeDescription	b'Based on a game by Xuse \n\nSakurai Sino was a chemistry teacher who had recently transferred to Shirakumo Academy. She was a beautiful woman who looked good in glasses, and she was the envy of all the people in the school. One day, Iijima Sayaka, a female student, confessed that she was worrying about sex. Then Shino gave her a \xe2\x80\x9clesson\xe2\x80\x9d. \n\nThat night, Shino got excited and began to play with herself. Suddenly, Kayama, a male student, broke into the room and raped her. She was thoroughly battered. However, she went to school next morning as if nothing had happened. Kayama called her to rape her again. What waiting for her was\xe2\x80\xa6 \n\n(from AnimeNFO) '
animeRelated	[]
animeCharacters	[b'Sakurai, Shino', b'Iijima, Sayaka', b'Abe, Tamotsu']
animeVoices	[b'\nHyo-sei\nJapanese\n', b'\nKurokawa, Nami\nJapanese\n', b'\nMizushima, Takahiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nXuse\n\nOriginal Creator\n\n']
