animeTitle	Kyonyuu Kazoku Saimin
animeType	OVA
animeNumEpisode	1
releaseDate	2014-04-18 00:00:00
endDate	
animeNumMembers	
animeScore	6.77
animeUsers	3599
animeRank	
animePopularity	5460
animeDescription	Based on the erotic game by Lune.
animeRelated	['Kyonyuu Kazoku Saimin', 'Kyonyuu Daikazoku Saimin']
animeCharacters	['Mamiya, Mifuyu', 'Akiha, Mamiya', 'Mamiya, Natsuki']
animeVoices	['Amamiya, Yuu']
animeStaff	[['Raika, Ken', 'Director'], ['Doshida, Tomoaki', 'Storyboard, Character Design'], ['Lune', 'Original Creator'], ['Skyhouse', 'Original Character Design']]
