animeTitle	Soukou Kihei Votoms: The Last Red Shoulder
animeType	OVA
animeNumEpisode	1
releaseDate	1985-08-21 00:00:00
endDate	
animeNumMembers	3491
animeScore	7.14
animeUsers	1663
animeRank	3191
animePopularity	7987
animeDescription	"Released in 1985, this OVA tells a critical part of the story between the TV show's Uoodo and Kummen arcs. Although the TV series covered the Red Shoulders in some detail, we didn't get to see much of Chirico's time there or the people involved, and we get both of those here.

(Source: mahq.net)"
animeRelated	['Soukou Kihei Votoms']
animeCharacters	['Cuvie, Chirico', 'Melyn, Murza', 'Hagard, Byman', 'Garosh, Gregore', 'Fyana', 'Vartla, Vanilla', 'Vartla, Coconna', 'Gotho, Bouleuse', 'Ypsilon', 'Borough, Serge']
animeVoices	['Gouda, Hozumi', 'Shiozawa, Kaneto', 'Kobayashi, Kiyoshi', 'Yanaga, Kazuko', 'Chiba, Shigeru', 'Kawanami, Yoko', 'Tomita, Kousei', 'Kami, Kyounosuke', 'Ogata, Kenichi']
animeStaff	[['Takahashi, Ryousuke', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Yatate, Hajime', 'Original Creator'], ['Ookawara, Kunio', 'Mechanical Design']]
