animeTitle	Kaede New Town
animeType	Movie
animeNumEpisode	1
releaseDate	2007-12-08 00:00:00
endDate	
animeNumMembers	657
animeScore	5.14
animeUsers	318
animeRank	11225
animePopularity	12223
animeDescription	"Mikio Osawa, an average 5th grade school boy, lives in the suburbs of Osaka. Mikio likes Haruko Tezuka, a cute little girl in his class. However, Mikio is too shy and withdrawn to tell Haruko that he likes her. One day, Mikio's close friend Megane brings news that Haruko is about to move away to another town...

Kaede Newtown is a romantic comedy animation created by Naoto Iwakiri, an Osaka-born illustrator. With cute little characters and music created by Japanese band Aprils and singer-songwriter TOMOVSKY, Kaede Newtown takes you back to the good ol' town you lived in during the good ol' days of your childhood.

(Source: crunchyroll.com)"
animeRelated	[]
animeCharacters	['Cupio', 'Megane, Yuusuke', 'Tezuka, Haruko', 'Oosawa, Mikio', 'Tennouji, Mio']
animeVoices	['Yoshioka, Mayu', 'Mitamura, Akito', 'Toki, Akari', 'Morinaga, Yuuki', 'Takase, Ikuko']
animeStaff	[['Iwakiri, Naoto', 'Screenplay, Character Design, Original Creator']]
