animeTitle	Fate/Prototype
animeType	OVA
animeNumEpisode	1
releaseDate	2011-12-31 00:00:00
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	49159
animeRank	
animePopularity	1638
animeDescription	Fate/Prototype is a digest version of Kinoko Nasu's original version of Fate/stay night.
animeRelated	['Fate/stay night']
animeCharacters	['Saber', 'Sajou, Ayaka', 'Archer', 'Lancer', 'Reiroukan, Misaya', 'Sajou, Manaka', 'Rider', 'Sajyou, Father', 'Sancraid, Phahn', 'Isemi, Aro']
animeVoices	['Sakurai, Takahiro', 'Hanazawa, Kana', 'Nakamura, Yuuichi', 'Nakai, Kazuya', 'Saitou, Chiwa', 'Toyosaki, Aki', 'Miyano, Mamoru', 'Touchi, Hiroki', 'Koyasu, Takehito', 'Ogata, Megumi']
animeStaff	[['Kishi, Seiji', 'Director'], ['Nasu, Kinoko', 'Original Creator'], ['Type-Moon', 'Original Creator'], ['Takanashi, Yasuharu', 'Music']]
