animeTitle	Gibomai
animeType	OVA
animeNumEpisode	2
releaseDate	2002-10-25 00:00:00
endDate	2003-03-28 00:00:00
animeNumMembers	5858
animeScore	6.62
animeUsers	2457
animeRank	
animePopularity	6565
animeDescription	"A renowned painter dies of heart disease while being married with Megumi, a woman much younger than he is. His son, Kyosuke, never liked that union and wants Megumi out of the house. Therefore Megumi proposes that Kyosuke can do anything he wants with her daughter Yuna, Kyosuke's stepsister, if he allows them to stay. Naturally, Kyosuke accepts.

(Source: AniDB) "
animeRelated	[]
animeCharacters	['Wakao, Yuna', 'Wakao, Kyousuke', 'Wakao, Megumi', 'Nakuru']
animeVoices	['Iwai, Yukiko', 'Ryou, Nagumo']
animeStaff	[['Watanabe, Jun', 'Sound Director'], ['KOTOKO', 'Theme Song Performance, Theme Song Lyrics'], ['Haga, Hitoshi', 'Animation Director'], ['Sano, Hiroaki', 'Music']]
