animeTitle	Aoi Taiken
animeType	OVA
animeNumEpisode	2
releaseDate	1984-10-11 00:00:00
endDate	1985-10-07 00:00:00
animeNumMembers	
animeScore	4.55
animeUsers	259
animeRank	
animePopularity	11697
animeDescription	"One of the first erotic OVA. Based in an original story of mangaka Hachurui (羽中ルイ), it would also have a live-action version released almost at the same time and starring AV actress Kyoko Nakamura, both produced by Orange Video House. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
