animeTitle	Bad Boys
animeType	OVA
animeNumEpisode	5
releaseDate	1993-09-25 00:00:00
endDate	1998-08-09 00:00:00
animeNumMembers	
animeScore	6.48
animeUsers	440
animeRank	
animePopularity	9118
animeDescription	"Tsukasa, Yoji, and Eiji are friends and members of the motorcycle gang called the Paradise Butterflies. Riding the streets of Hiroshima, their goal in life is to top all other gangs in their city.

(Source: ANN)"
animeRelated	['Bad Boys']
animeCharacters	['Kiriki, Tsukasa', 'Kawanaka, Jouji', 'Wakami, Eiji', 'Yoshimoto, Kumi', 'Danno, Hidenori', 'Sugimoto, Hirokazu', 'Kirimoto', 'Satou, Erika', 'James']
animeVoices	['Morita, Kiyu', 'Horiuchi, Kenyuu', 'Tobita, Nobuo', 'Hayashibara, Megumi', 'Genda, Tesshou', 'Chiba, Shigeru', 'Madono, Mitsuaki', 'Katsuki, Masako', 'Kikuchi, Masami']
animeStaff	[['Sekita, Osamu', 'Director'], ['Kajitani, Mitsuharu', 'Animation Director'], ['Tanaka, Hiroshi', 'Original Creator, Original Character Design'], ['Masuda, Hirofumi', 'Key Animation']]
