animeTitle	b'Gosenzo-sama Banbanzai!'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.27
animeUsers	1683
animeRank	
animePopularity	
animeDescription	"b'The Yomota family is small and typical: father Kinekuni (42), mother Tamiko (38), and son Inumaru (17). One day, a beautiful girl appears at their front door, calling herself ""Maroko Yomota,"" granddaughter of Inumaru who travels back in time with a time machine to visit her ancestors. Even with Tamiko\'s strong objection, Kinekuni and Inumaru welcome her to stay with them, and the structure of a happy family has begun to collapse. \n\n(Source: ANN)'"
animeRelated	[b'Maroko']
animeCharacters	[b'Yomota, Inumaru', b'Yomota, Kinekuni', b'Narrator', b'Yomota, Tamiko', b'Yomota, Maroko', b'Muroto, Bunmei']
animeVoices	[b'\nFurukawa, Toshio\nJapanese\n', b'\nOgata, Kenichi\nJapanese\n', b'\nNagai, Ichiro\nJapanese\n', b'\nWashio, Machiko\nJapanese\n', b'\nKatsuki, Masako\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOshii, Mamoru\n\nDirector, Script, Original Creator\n\n', b'\nKawai, Kenji\n\nMusic\n\n', b'\nIso, Mitsuo\n\nKey Animation\n\n', b'\nOhira, Shinya\n\nKey Animation\n\n']
