animeTitle	Mahou no Mako-chan
animeType	TV
animeNumEpisode	48
releaseDate	1970-11-02 00:00:00
endDate	1971-09-27 00:00:00
animeNumMembers	1548
animeScore	6.4
animeUsers	335
animeRank	6687
animePopularity	10097
animeDescription	"Mako is a young siren and daughter to the King of the Sea. In a stormy day she rescues the young sport Akira from a wrecked ship, but ends up falling in love with him. So, with help from the Witch of the Sea, she's transformed into a human, and becomes a highschool student who helps everyone with her strong sense of love and justice and her magical pendant, the ""Tear of the Mermaid.""

(Source: ANN)"
animeRelated	[]
animeCharacters	['Urashima, Mako', 'Shigeno, Akira', 'Futago no Papa']
animeVoices	['Sugiyama, Kazuko', 'Ichikawa, Osamu', 'Saikachi, Ryuuji']
animeStaff	[['Nishizawa, Nobutaka', 'Episode Director'], ['Horie, Mitsuko', 'Theme Song Performance'], ['Araki, Shingo', 'Animation Director'], ['Yukimuro, Shunichi', 'Screenplay']]
