animeTitle	Watashitachi, Luck Logic-bu! 2
animeType	ONA
animeNumEpisode	12
releaseDate	2016-08-01 00:00:00
endDate	2017-01-22 00:00:00
animeNumMembers	
animeScore	5.57
animeUsers	265
animeRank	
animePopularity	9703
animeDescription	The comedy shorts follow four girls who are members of the Luck Logic Club, whose activity is playing the Luck & Logic card game. 
animeRelated	['Watashitachi, Luck Logic-bu!', 'Hina Logi: From Luck & Logic']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
