animeTitle	b'Jigoku Youchien'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	4.6
animeUsers	667
animeRank	
animePopularity	
animeDescription	b'Flash anime shorts that center around a school for mischievous demon toddlers.\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Kiichi-kun', b'Levia-chan', b'Yuki-chan', b'Sakyuba-chan', b'Sakura-chan']
animeVoices	[b'\nOno, Yuuki\nJapanese\n', b'\nHonda, Mariko\nJapanese\n', b'\nOokubo, Rumi\nJapanese\n', b'\nAsumi, Kana\nJapanese\n', b'\nIshida, Haruka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAsumi, Kana\n\nTheme Song Performance\n\n', b'\nOno, Yuuki\n\nTheme Song Performance\n\n', b'\nHonda, Mariko\n\nTheme Song Performance\n\n']
