animeTitle	Turning Mecard R
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15474
animeDescription	"Turning Mecard R was announced as a CG-reboot of Turning Mecard. It features the same characters as Turning Mecard and Turning Mecard W.

(Source: Wikia)"
animeRelated	['Turning Mecard W Season 2']
animeCharacters	['Evan', 'Jason', 'Isobel', 'Dyne, Van', 'Dana', 'Tero', 'Phoenix', 'Brandon', 'Kevin', 'Ryan']
animeVoices	[]
animeStaff	[]
