animeTitle	Zombie-Loan
animeType	TV
animeNumEpisode	11
releaseDate	2007-07-04 00:00:00
endDate	2007-09-12 00:00:00
animeNumMembers	
animeScore	6.86
animeUsers	58285
animeRank	
animePopularity	1320
animeDescription	"Do you know when you are going to die? Michiru Kita does, as she has the ability to see a ""ring of death"" on the necks of those around her—and the darker the ring, the closer one is to death. 

One day, she notices that two boys in her class, Chika Akatsuki and Shito Tachibana, have completely black rings. Seeking to warn them of their impending demise, she stumbles onto their secret: they are already dead, but are kept alive due to a contract with Zombie-Loan, a mysterious loan office. Of course, nothing comes without a price, as the boys must hunt down and kill zombies in order to pay off their debt. And once they learn about Michiru's ""Shinigami Eyes,"" they drag her into their crazy world.

[Written by MAL Rewrite]"
animeRelated	['Zombie-Loan', 'Zombie-Loan Specials']
animeCharacters	['Akatsuki, Chika', 'Tachibana, Shito', 'Kita, Michiru', 'Zarame', 'Yuuta', 'Yoimachi, Koyomi', 'Shiba, Reiichirou', 'Bekkou', 'Lyca', 'Asou, Sotetsu']
animeVoices	['Suzumura, Kenichi', 'Sakurai, Takahiro', 'Kuwashima, Houko', 'Kosugi, Juurouta', 'Saitou, Chiwa', 'Ueda, Kana', 'Suwabe, Junichi', 'Morikawa, Toshiyuki', 'Kakihara, Tetsuya', 'Itou, Kentarou']
animeStaff	[['Motohashi, Hideyuki', 'Producer, Chief Animation Director'], ['Nishimori, Akira', 'Director, Episode Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Yamato, Naomichi', 'Episode Director']]
