animeTitle	Kaginado
animeType	TV
animeNumEpisode	Unknown
releaseDate	2021-10-13 00:00:00
endDate	
animeNumMembers	16615
animeScore	7.17
animeUsers	1334
animeRank	3034
animePopularity	4342
animeDescription	"A crossover television anime featuring chibi renditions of characters from Kanon, Air, Clannad, Little Busters!, Rewrite, and additional Key franchises to be revealed at a later date.

(Source: MAL News)"
animeRelated	['Air', 'Kanon', 'Kanon (2006)', 'Clannad', 'Little Busters!', 'Rewrite', 'Planetarian: Hoshi no Hito']
animeCharacters	['Okazaki, Tomoya', 'Furukawa, Nagisa', 'Sakagami, Tomoyo', 'Fujibayashi, Kyou', 'Ibuki, Fuuko', 'Ichinose, Kotomi', 'Tsukimiya, Ayu', 'Kamio, Misuzu', 'Natsume, Kyousuke', 'Kawasumi, Mai']
animeVoices	['Nakamura, Yuuichi', 'Nakahara, Mai', 'Kuwashima, Houko', 'Hirohashi, Ryou', 'Nonaka, Ai', 'Noto, Mamiko', 'Horie, Yui', 'Sanada, Asami', 'Midorikawa, Hikaru', 'Tamura, Yukari']
animeStaff	[['Sakamoto, Kazuya', 'Director'], ['Maeda, Akane', 'Sound Director'], ['Aoshima, Takashi', 'Script, Series Composition'], ['Okano, Touya', 'Script']]
