animeTitle	Kodomo no Jikan Recap
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	5158
animeRank	
animePopularity	5038
animeDescription	A 86-minute DVD episode that includes an uncensored summary of the original TV series.
animeRelated	['Kodomo no Jikan', 'Kodomo no Jikan (TV)']
animeCharacters	['Kokonoe, Rin', 'Kagami, Kuro', 'Usa, Mimi', 'Aoki, Daisuke', 'Kokonoe, Reiji', 'Shirai, Sae', 'Houin, Kyouko', 'Oyajima, Kenta']
animeVoices	['Kitamura, Eri', 'Shindou, Kei', 'Kadowaki, Mai', 'Majima, Junji', 'Sugita, Tomokazu', 'Soumi, Youko', 'Tanaka, Ryouko', 'Ishigami, Yuuichi']
animeStaff	[['Iwanami, Yoshikazu', 'Sound Director'], ['Watashiya, Kaworu', 'Original Creator'], ['Nishida, Masara', 'Music'], ['Anno, Masato', 'In-Between Animation']]
