animeTitle	Gintama: The Final
animeType	Movie
animeNumEpisode	1
releaseDate	2021-01-08 00:00:00
endDate	
animeNumMembers	
animeScore	9.0
animeUsers	29979
animeRank	
animePopularity	1924
animeDescription	New Gintama movie.
animeRelated	['Gintama', 'Gintama.: Shirogane no Tamashii-hen - Kouhan-sen', 'Gintama: The Semi-Final']
animeCharacters	['Sakata, Gintoki', 'Kagura', 'Shimura, Shinpachi', 'Katsura, Kotarou', 'Hijikata, Toushirou', 'Okita, Sougo', 'Takasugi, Shinsuke', 'Tsukuyo', 'Hasegawa, Taizou', 'Kamui']
animeVoices	['Sugita, Tomokazu', 'Ishida, Akira', 'Hino, Satoshi']
animeStaff	[['Fujita, Youichi', 'Director'], ['Miyawaki, Chizuru', 'Director, Series Composition'], ['Takamatsu, Shinji', 'Sound Director'], ['SPYAIR', 'Theme Song Performance']]
