animeTitle	Seihou Tenshi Angel Links
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.97
animeUsers	2464
animeRank	
animePopularity	5808
animeDescription	"Li Meifon is the head of a free, no expenses paid protection/security agency for escorting ships across outer space. Though only 16, she posesses great skill and leadership qualities while commanding her crew aboard their ship, the ""Angel Links."" However, some unpleasant memories begin to trouble her and she starts questioning her own past and reason for existence. Join Li Meifon and the rest of the Angel Links crew on their adventures through the Oracion star system as they battle pirates, government organizations, and a Tao master, all while finally uncovering Meifon's dark and mysterious past. 
"
animeRelated	['Seihou Tenshi Angel Links', 'Seihou Bukyou Outlaw Star', 'Seihou Tenshi Angel Links: Meifon no Special Kaisetsu Corner']
animeCharacters	['Vertone, Valeria', 'Li, Meifon', 'Delax Rex, Duuz', 'Hida, Kousei', 'Iris', 'Aihara', 'Sergei', 'Gordon', 'Lao, Leon', 'Leego, Exiade']
animeVoices	['Tanaka, Atsuko', 'Yuzuki, Ryouka', 'Utsumi, Kenji', 'Midorikawa, Hikaru', 'Kimura, Akiko', 'Oono, Marina', 'Nakai, Kazuya', 'Suzuki, Kiyonobu', 'Hayashi, Kazuo', 'Gouri, Daisuke']
animeStaff	[['Yamaguchi, Yuuji', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Watanabe, Tetsuya', 'Episode Director'], ['Kagawa, Yutaka', 'Episode Director, Storyboard']]
