animeTitle	b'91 Daze'
animeType	b'Special'
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	5.63
animeUsers	1485
animeRank	
animePopularity	
animeDescription	b'91 Daze is a series of shorts included in various disk packages. They focus around Angelo, Nero, and sometimes Corteo in various comedic situations.\n\n(Source: 91-days.wikia)'
animeRelated	[b'91 Days']
animeCharacters	[b'Lagusa, Angelo', b'Vanetti, Nero', b'Corteo']
animeVoices	[b'\nKondou, Takashi\nJapanese\n', b'\nEguchi, Takuya\nJapanese\n', b'\nSaitou, Souma\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKasugamori, Haruki\n\nDirector\n\n']
