animeTitle	Minna Agechau♡
animeType	OVA
animeNumEpisode	1
releaseDate	1987-03-27 00:00:00
endDate	
animeNumMembers	
animeScore	5.86
animeUsers	843
animeRank	
animePopularity	9236
animeDescription	A beautiful day Rokurou, a student, was to masturbate when a beautiful girl knocks on his door: You need a virgin? And so begins the story. Rokurou did not know what it was that this beautiful girl was a millionaire family.
animeRelated	['Minna Agechau♥']
animeCharacters	['Chikanaka, Rokuro', 'Mamiya, Yuno', 'Mamiya, Sakurako']
animeVoices	['Horikawa, Ryo', 'Matsui, Naoko', 'Ikeda, Masako']
animeStaff	[['Kamimura, Osamu', 'Director'], ['Yuzuki, Hikaru', 'Original Creator'], ['Katsumata, Geki', 'Art Director'], ['Tsukasa, Tadashi', 'Animation Director']]
