animeTitle	b'Usagi to Kame'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.32
animeUsers	615
animeRank	
animePopularity	
animeDescription	b'A retelling of the classic Aesop Fable, The Tortoise and the Hare.\n\n(Source: AniDB)'
animeRelated	[b'Pom Pom Purin no Usagi to Kame', b'Usagi to Kame (Music)']
animeCharacters	[b'Kame', b'Usagi']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Zenjirou\n\nEpisode Director, Key Animation\n\n']
