animeTitle	Stitch!: Zutto Saikou no Tomodachi
animeType	TV
animeNumEpisode	29
releaseDate	2010-07-06 00:00:00
endDate	2011-03-08 00:00:00
animeNumMembers	
animeScore	6.05
animeUsers	572
animeRank	
animePopularity	9637
animeDescription	"In their new adventure, Yuuna and Stitch move from their small island Izayoi to the Okinawa main island where Yuuna is supposed to visit a school. A new cast of friends awaits them there as well as a new crisis approaching from space.

(Source: AniDB)"
animeRelated	['Disney Stitch: Best Friends Forever', 'Stitch!: Itazura Alien no Daibouken', 'Stitch!: Itazura Alien no Daibouken - Uchuu Ichi no Oniichan', 'Stitch to Suna no Wakusei', 'Stitch!: Zutto Saikou no Tomodachi Special']
animeCharacters	['Stitch', 'Yuuna', 'Jookiba, Jumba', 'Delia', 'Pleakley', 'Reika']
animeVoices	['Yamadera, Kouichi', 'Park, Romi', 'Hikasa, Youko']
animeStaff	[['Yasumi, Tetsuo', 'Director'], ['Masuda, Toshihiko', 'Storyboard'], ['Nakagawa, Koutarou', 'Music'], ['Koga, Tooru', 'Art Director']]
