animeTitle	Kunimatsu-sama no Otoridai
animeType	TV
animeNumEpisode	46
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13642
animeDescription	"A comedy about a group of kids forming a school baseball team, with the leader being very stubborn and argumentative.

(Source: AniDB)"
animeRelated	['Harisu no Kaze']
animeCharacters	['Gouta']
animeVoices	['Masuoka, Hiroshi']
animeStaff	[['Bessho, Takaharu', 'Producer'], ['Hata, Masami', 'Episode Director'], ['Hirata, Toshio', 'Episode Director'], ['Itou, Tsunehisa', 'Script']]
