animeTitle	b'Kaibutsu Gakushou'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.71
animeUsers	126
animeRank	
animePopularity	
animeDescription	b'An animated archive of imaginary monsters written by a fictitious monsterologist in Medieval Europe.\n This work depicts the habits of monsters using movement inspired by short phrases such as \xe2\x80\x9cTaste of Tears\xe2\x80\x9d, \xe2\x80\x9cTamed Wildness\xe2\x80\x9d, etc.\n\n(Source: Yamamura Animation)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
