animeTitle	Kishin Houkou Demonbane (TV)
animeType	TV
animeNumEpisode	12
releaseDate	2006-05-19 00:00:00
endDate	2006-08-18 00:00:00
animeNumMembers	34288
animeScore	6.56
animeUsers	11848
animeRank	5806
animePopularity	3063
animeDescription	"Kurou Daijuuji is a poor detective living in Arkham City. One day, he was requested by Ruri Hado of Hado Financial Group, to search for a magic book. While he initially refused, Ruri offered him a large sum of money upon completion of her request, in which bribed Kuro to accept. As Kurou searches for the book, he unexpectedly runs into Al, a pretty girl that is actually a powerful grimoire. 

They forge a contract with each other, bestowing Kuro with powerful magic. Soon afterwards, Al also activates Demonbane, a deus machina owned by the Hado Financial Group, to combat the mechanical menace from the Black Lodge. With this, the war between the Hado Financial Group and the Black Lodge begins.... 

(Source: ANN)"
animeRelated	['Kishin Houkou Demonbane', 'Zanmataisei Demonbane', 'Kishin Houkou Demonbane (TV) Specials']
animeCharacters	['Azif, Al', 'Daijuuji, Kurou', 'West', 'Winfield', 'Ennea', 'Elsa', 'Augustus', 'Titus', 'Etheldreda', 'Master Therion']
animeVoices	['Kanda, Rie', 'Itou, Kentarou', 'Yamazaki, Takumi', 'Koyasu, Takehito', 'Naruse, Mia', 'Sato, Mikako', 'Wakamoto, Norio', 'Nakata, Jouji', 'Midorikawa, Hikaru']
animeStaff	[['Masuo, Shouichi', 'Director, Episode Director, Storyboard, Key Animation'], ['Takadera, Takeshi', 'Sound Director'], ['Kuroda, Yousuke', 'Script, Series Composition'], ['Itou, Kanako', 'Theme Song Performance']]
