animeTitle	b'Sweet Home: H na Oneesan wa Suki Desu ka?'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.14
animeUsers	4848
animeRank	
animePopularity	
animeDescription	b'Ryuichi is a university student. He used to live alone and enjoyed his school life. But one day, his apartment was destroyed by a fire.... He reluctantly comes back to his house. But his house has been changed to a boarding house for girls...! It seems there is no place for him to live. But they all allow him to stay there together! His new life begins like this....\n\n(Source: Himeya Shop)'
animeRelated	[]
animeCharacters	[b'Tomosato, Risa', b'Moroboshi, Kyoko', b'Furuhashi, Chinatsu', b'Amagi, Manami', b'Soga, Kaede', b'Moroboshi, Ryuuichi']
animeVoices	[b'\nNakata, Junko\nJapanese\n', b'\nHagiwara, Emiko\nJapanese\n', b'\nArai, Shizuka\nJapanese\n', b'\nNarumi, Erika\nJapanese\n', b'\nSakurai, Harumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHosoe, Shinji\n\nTheme Song Composition, 2nd Key Animation\n\n', b'\nSera, Kouta\n\nKey Animation\n\n']
