animeTitle	b'Akahori Gedou Hour Rabuge'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.17
animeUsers	1262
animeRank	
animePopularity	
animeDescription	b'Akahori Gedou Hour Rabuge is an anime series that combined episodes of two related stories into one broadcast block.\n\nZettai Seigi Love Pheromone\nYoshizumi Aimi and Sasajima Kaoruko are comic duo, Their dream is to become popular and stand on the Broadway stage.However, their names are not well-known, and they have to do part-time jobs.To make their names popular, they decided to do side job. It is heroines of justice, They will beat villains one after another, but after that, there is nothing but ruins. People are afraid of them and even rumor that they are evil. (Source: ANN)\n\nSoreyuke! Gedou Otometai\nThe five Hokke sisters lost their parents when they were quite young. Although they are poor, they`re living comfortably because they have a dream, which is to be evil. The Hokke Family has belonged to an evil organization and worked as a combatant. When their father died, he left them a message that asked them to become a villain that he couldn`t become. However they wondered how to become the best villains.\n\nOne day, the youngest sister Utano found a jar. They were told not to open it until they we`re 18. It was sealed by a talisman labeled R18. Akuma-ko broke the seal on the jar and a devil appeared. The demon said they had special powers inside of them, when they have the weapons in their hands they would turn into Gedo Otome Tai. (Source: AnimeNfo)'
animeRelated	[]
animeCharacters	[b'Hokke, Maika', b'Hokke, Otone', b'Hokke, Kanashi', b'Hokke, Yoku', b'Yoshizumi, Aimi', b'Hokke, Utano', b'Sashima, Kaoruko', b'Akunoko', b'Seki, Tomokazu']
animeVoices	[b'\nKadowaki, Mai\nJapanese\n', b'\nEnomoto, Atsuko\nJapanese\n', b'\nKondou, Kanako\nJapanese\n', b'\nOtomiya, Tsubasa\nJapanese\n', b'\nShimizu, Ai\nJapanese\n', b'\nHirota, Shion\nJapanese\n', b'\nSasajima, Kaoru\nJapanese\n', b'\nMatsuoka, Yuki\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsui, Hitoyuki\n\nDirector\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nKatou, Hiroto\n\nEpisode Director, Storyboard, Key Animation, Animation Director\n\n', b'\nKanbara, Toshiaki\n\nEpisode Director\n\n']
