animeTitle	Injuu Gakuen EX
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	1051
animeRank	
animePopularity	8236
animeDescription	"Miko Mido has fallen in love for the first time. Too bad for her that she hasn't the time to pursue the man of her dreams. There is a mysterious female ghost which is attacking Miko's schoolmates and stealing their life-force, and someone has to investigate the case. However, it seems that the ominous phantom is willing to pursue Miko's love interest, too...

(Source: ANN)"
animeRelated	['La☆Blue Girl', 'Injuu Gakuen La Blue Girl', 'Injuu Gakuen La☆Blue Girl: Fukkatsu-hen']
animeCharacters	['Midou, Miko', 'Nin-Nin', 'Maria', 'King Seikima']
animeVoices	['Minami, Omi', 'Yamaguchi, Kappei', 'Yamaguchi, Yuriko', 'Yamaguchi, Ken']
animeStaff	[['Maeda, Toshio', 'Original Creator'], ['Ooshiro, Tsutomu', 'Key Animation']]
