animeTitle	b'Kurogane no Linebarrels Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	2177
animeRank	
animePopularity	
animeDescription	b'Episodes 25 & 26, added to DVD.'
animeRelated	[b'Kurogane no Linebarrels']
animeCharacters	[b'Hayase, Kouichi', b'Kizaki, Emi', b'Calvin, Rachel', b'Moritsugu, Reiji', b'Kujou, Miu', b'Yamashita, Satoru', b'Ishigami, Kunio', b'Endo, Shizuna', b'Smith, Jack', b'Faithfull, Yuriannu']
animeVoices	[b'\nKakihara, Tetsuya\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nHirano, Aya\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nNakata, Jouji\nJapanese\n', b'\nUeda, Kana\nJapanese\n', b'\nSato, Biichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSakamoto, Maaya\n\nTheme Song Performance\n\n', b'\nALI PROJECT\n\nTheme Song Performance\n\n', b'\nFukunaga, Gen\n\nExecutive Producer\n\n', b'\nConisch\n\nMusic\n\n']
