animeTitle	Sangokushi
animeType	Special
animeNumEpisode	1
releaseDate	1982-01-04 00:00:00
endDate	
animeNumMembers	302
animeScore	
animeUsers	
animeRank	13076
animePopularity	14549
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Narrator']
animeVoices	['Kishida, Shin']
animeStaff	[['HARRY', 'Theme Song Performance'], ['Momose, Yoshiyuki', 'Key Animation'], ['Kimura, Keiichiro', 'Animation Director']]
