animeTitle	b'Chrome Shelled Regios'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.31
animeUsers	93877
animeRank	
animePopularity	
animeDescription	b'In a post-apocalyptic world overrun with mutated beasts called Limbeekoon or Filth Monsters, humanity is forced to live in large mobile cities called Regios and learn to use special weapons called Dite, by harnessing the power of Kei to defend themselves. In the Academy City of Zuellni, Layfon Alseif is hoping to start a new life and forget his past. However, his past has caught the attention of Karian Loss, the manipulative Student Council President and Nina Antalk, a Military Arts student and Captain of the 17th Military Arts Platoon, who instantly recognizes his abilities and decides he\xe2\x80\x99s the perfect candidate to join her group. However, with a secret past that won\xe2\x80\x99t leave him alone and unknown powers beyond normal, Layfon just might not take it. \n'
animeRelated	[b'Chrome Shelled Regios', b'Chrome Shelled Regios: Secret Side', b'Legend of Regios']
animeCharacters	[b'Loss, Felli', b'Alseif, Layfon', b'Antalk, Nina', b'Elipton, Sharnid', b'Marfes, Leerin', b'Sutton, Harley', b'Luckens, Savaris', b'Gerni, Naruki', b'Zuellni', b'Almonis, Alcheilla']
animeVoices	[b'\nNakahara, Mai\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nTakagaki, Ayahi\nJapanese\n', b'\nTaniyama, Kishou\nJapanese\n', b'\nTakahashi, Mikako\nJapanese\n', b'\nSakaguchi, Daisuke\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nOno, Fuyuka\nJapanese\n', b'\nWatanabe, Akeno\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawasaki, Itsurou\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nFujimoto, Jirou\n\nEpisode Director, Storyboard\n\n', b'\nTokumoto, Yoshinobu\n\nEpisode Director\n\n']
