animeTitle	b'Sabage-bu!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.36
animeUsers	49220
animeRank	
animePopularity	
animeDescription	"b""Draw your weapons and take aim, because Sabagebu! is coming at you!\n\nMomoka Sonokawa was just minding her own business on the train one day when she encountered a pervert. Before she could do anything about it, a girl named Miou appears, brandishing two pistols and and scaring him off, only to be arrested herself a few minutes later for possessing firearms. \n\nLater Momoka sees this same girl at her school and follows her to a run down building. It turns out Miou is the president of the school's Survival Game Club, and it doesn't take long for Miou to capture Momoka and force her into joining them.\n\nOver the course of the series, Momoka and her new \xe2\x80\x9cfriends\xe2\x80\x9d will take part in multiple battles against enemies from other schools, a rival from the same school who wants to see the club shut down and even each other (on multiple occasions). With friends and classmates like these, will Momoka even make it to graduation?"""
animeRelated	[b'Sabage-bu!', b'Sabage-bu! Specials']
animeCharacters	[b'Sonokawa, Momoka', b'Kasugano, Urara', b'Ootori, Miou', b'Goutokuji, Kayo', b'Kyoudou, Maya', b'Kamo', b'Sonokawa, Kazue', b'Karaage Lemon', b'Isurugi, Yayoi', b'Tenchou']
animeVoices	[b'\nOhashi, Ayaka\nJapanese\n', b'\nOokubo, Rumi\nJapanese\n', b'\nUchiyama, Yumi\nJapanese\n', b'\nTouyama, Nao\nJapanese\n', b'\nLynn\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nArai, Souta\nJapanese\n', b'\nMatsui, Eriko\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOota, Masahiko\n\nDirector, Episode Director, Storyboard, Key Animation, Character Design\n\n', b'\nEbina, Yasunori\n\nSound Director\n\n', b'\nAoshima, Takashi\n\nScript, Series Composition\n\n', b'\nSugihara, Kenji\n\nScript\n\n']
