animeTitle	Mazinger Z tai Devilman
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.14
animeUsers	1528
animeRank	
animePopularity	7774
animeDescription	The heroes of the series Mazinger Z and Devilman fighting against the evil Demon Clan.
animeRelated	['Devilman', 'Mazinger Z', 'Cyborg 009 VS Devilman']
animeCharacters	['Fudou, Akira', 'Devilman', 'Kabuto, Kouji', 'Dr. Hell', 'Zannin, Demon General']
animeVoices	['Tanaka, Ryouichi', 'Ishimaru, Hiroya', 'Tomita, Kousei', 'Kobayashi, Kiyoshi']
animeStaff	[['Mizuki, Ichirou', 'Theme Song Performance'], ['Columbia Yurikago Kai', 'Theme Song Performance'], ['Watanabe, Chuumei', 'Theme Song Composition, Theme Song Arrangement, Music'], ['Nagai, Go', 'Original Creator']]
