animeTitle	Sasaki to Miyano
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	3973
animeDescription	"Miyano spends his days peacefully reading Boys' Love comics and worrying about how girly his face is-until a chance encounter leads to a scuffle with his senior Sasaki. Intrigued by his feisty junior Miyano, delinquent Sasaki uses every opportunity he can to get closer... 

(Source: Yen Press)"
animeRelated	['Sasaki to Miyano']
animeCharacters	['Sasaki, Shuumei', 'Miyano, Yoshikazu', 'Hirano, Taiga', 'Kuresawa, Tasuku', 'Hanzawa, Masato', 'Tashiro, Gonzaburou', 'Ogasawara, Jirou']
animeVoices	['Shirai, Yuusuke', 'Saitou, Souma', 'Matsuoka, Yoshitsugu', 'Arai, Ryouhei', 'Uchida, Yuuma', 'Ichiki, Mitsuhiro', 'Ono, Yuuki']
animeStaff	[['Ishihira, Shinji', 'Director'], ['Hata, Shouji', 'Sound Director'], ['Harusono, Shou', 'Original Creator'], ['Shibue, Kana', 'Music']]
