animeTitle	Attouteki Vivid Days
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.21
animeUsers	1740
animeRank	
animePopularity	7845
animeDescription	Official music video for Nanami Yoshi.'s song Attouteki Vivid Days. Nanami is a virtual idol whose song was also used as the ED to Kenja no Mago. A version with watermarks was posted to Avex Entertainment's official YouTube channel on May 17, 2019; it was stated to be the full-length music video. This was meant to advertise her CD+DVD going sale of the same name on June 19, 2019. The accompanying DVD will feature a clean version of the music video.
animeRelated	['Kenja no Mago']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
