animeTitle	b'Rennyuu Tales The Animation'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	1426
animeRank	
animePopularity	
animeDescription	b'Based on the adult manga by momi.'
animeRelated	[b'Rennyuu Tales']
animeCharacters	[b'Nyarko', b'Kogoro', b'Rin', b'Shouba', b'Kurohime, Yuna', b'Kenji']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nAraki, Hideki\n\nDirector, Episode Director, Storyboard, Character Design\n\n', b'\nmomi\n\nOriginal Character Design, Original Creator\n\n']
