animeTitle	Yondemasu yo, Azazel-san. (TV)
animeType	TV
animeNumEpisode	13
releaseDate	2011-04-08 00:00:00
endDate	2011-07-01 00:00:00
animeNumMembers	
animeScore	7.53
animeUsers	29625
animeRank	
animePopularity	2071
animeDescription	Akutabe is a detective who summons devils to solve the troubles of his clients. One day, a low class devil Azazel Atsushi is summoned by Akutabe and is used harshly by him and his assistant Rinko.
animeRelated	['Yondemasu yo, Azazel-san.', 'Yondemasu yo, Azazel-san. Z']
animeCharacters	['Akutabe', 'Azazel', 'Beelzebub', 'Sakuma, Rinko', 'Moloch', 'Undine', 'Salamander', 'God', 'Kiyoko', 'Gabriel']
animeVoices	['Namikawa, Daisuke', 'Onosaka, Masaya', 'Kamiya, Hiroshi', 'Satou, Rina', 'Genda, Tesshou', 'Kobayashi, Yuu', 'Nakai, Kazuya', 'Taniguchi, Takashi', 'Kugimiya, Rie', 'Fukushima, Ami']
animeStaff	[['Mizushima, Tsutomu', 'Director'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Mitsunaka, Susumu', 'Episode Director, Script, Storyboard, Key Animation'], ['Tanimura, Daishiro', 'Script']]
