animeTitle	Tomica Kizuna Gattai: Earth Granner
animeType	TV
animeNumEpisode	51
releaseDate	2020-04-05 00:00:00
endDate	2021-03-28 00:00:00
animeNumMembers	
animeScore	5.99
animeUsers	116
animeRank	
animePopularity	10879
animeDescription	"Earth Energy is a force generated naturally by the Earth's rotation. A mysterious alien enemy from space known as ""Dark Spinner"" has invaded Earth in order to steal the Earth Energy and transform it into Dark Energy. The only ones who can stand up to stop them are twin brothers named Raiga and Kuga, who are fighting together with the earth defense team Earth Granner. But will they be able to protect the earth?

(Source: Tomica Wiki)"
animeRelated	[]
animeCharacters	['Kudou, Kuuga', 'Kudou, Raiga', 'Kumaneko, Rin', 'Mach, Gou', 'Gao Granner, Eagle', 'Gao Granner, Leo']
animeVoices	['Sakurai, Haruna', 'Ishigami, Shizuka', 'Suyama, Emiri', 'Fukuyama, Jun', 'Hino, Satoshi', 'Hiyama, Nobuyuki']
animeStaff	[['Ushiro, Shinji', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Yamada, Yuka', 'Script'], ['Ooishi, Masayoshi', 'Theme Song Performance']]
