animeTitle	Maria-sama ga Miteru Specials
animeType	Special
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	7.34
animeUsers	4204
animeRank	
animePopularity	5605
animeDescription	A series of specials included on the Maria-sama ga Miteru DVD releases.
animeRelated	['Maria-sama ga Miteru']
animeCharacters	['Ogasawara, Sachiko', 'Fukuzawa, Yumi', 'Toudou, Shimako', 'Shimazu, Yoshino', 'Mizuno, Youko', 'Hasekura, Rei', 'Torii, Eriko', 'Satou, Sei']
animeVoices	['Itou, Miki', 'Ueda, Kana', 'Noto, Mamiko', 'Ikezawa, Haruna', 'Shinohara, Emi', 'Itou, Shizuka', 'Nabatame, Hitomi', 'Toyoguchi, Megumi']
animeStaff	[['Matsushita, Yukihiro', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Hibiki, Reine', 'Original Character Design']]
