animeTitle	b'Tabi wa ni'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[]
animeCharacters	[b'Yashima, Akari', b'Kitayama, Nagi']
animeVoices	[b'\nTomita, Miyu\nJapanese\n', b'\nMaeda, Kaori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSakamoto, Kazuya\n\nDirector, Original Creator\n\n', b'\nMitsuda, Hajime\n\nCharacter Design\n\n']
