animeTitle	b'Hakken Taiken Daisuki! Shimajirou'
animeType	b'TV'
animeNumEpisode	101
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Second season of the Shimajirou children's television series."""
animeRelated	[b'Shima Shima Tora no Shimajirou', b'Shimajirou Hesoka']
animeCharacters	[b'Shimano, Shimajirou', b'Makiba, Ramurin', b'Midorihara, Mimirin', b'Sorano, Torippii']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSuginami Jidou Gasshoudan\n\nInserted Song Performance\n\n', b'\nShimazaki, Yuri\n\nInserted Song Performance\n\n']
