animeTitle	Choujin Sentai Baratack
animeType	TV
animeNumEpisode	31
releaseDate	1977-07-03 00:00:00
endDate	1978-03-05 00:00:00
animeNumMembers	
animeScore	6.16
animeUsers	145
animeRank	
animePopularity	11715
animeDescription	"Late at night, at a lake surrounded by a peaceful forest, a mysterious spaceship landed on the water. The group that emerged from that ship kidnapped the head of space engineering, Professor Katou, and his family. 

The Professor's second son, American football player Yuuji, who had run away from home was in the middle of a game and knew nothing of what had happened.

The four young people watching him were Mark, Dickey, Franco, and Yuri. They were a team of four psychics who had been training in a secret base. They had seen the previous night's events and believed them to be an alien attack. Believing their only option to be the transforming robot Baratack, they used their psychic powers to kidnap Yuuji.

Baratack could only move by combining the powers of Yuuji and the other four acting as one. When all five, including the astonished Yuuji, cried ""Pentagoras Unite!” Baratack emerged. Yuuji was overcome with a violent rage, his fighting spirit burning to defeat the Golteus reptile army.

(Source: Official Website)"
animeRelated	['Toei Robot Girls']
animeCharacters	['Katou, Yuuji', 'Dickey', 'Shaidiin', 'Gobura', 'Kosotto', 'Franco', 'Tachibana, Makito', 'Julius', 'Lily', 'Dr. Katou']
animeVoices	['Mitsuya, Yuuji', 'Ishimaru, Hiroya', 'Tanonaka, Isamu', 'Kimotsuki, Kaneta', 'Aomori, Shin', 'Tsukase, Noriko', 'Mizushima, Yuu', 'Noda, Keiichi', 'Han, Keiko', 'Nagai, Ichiro']
animeStaff	[['Nishizawa, Nobutaka', 'Director'], ['Morishita, Kouzou', 'Episode Director'], ['Yamayoshi, Yasuo', 'Episode Director'], ['Fujikawa, Keisuke', 'Script, Screenplay']]
