animeTitle	NoisyCell x Ponkotsu Quest
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.23
animeUsers	156
animeRank	
animePopularity	13370
animeDescription	"A collaboration promotion between the Ponkotsu Quest and NoisyCell for their 3rd minialbum ""Pieces"" being released on June 21, 2017 as well as their tour ""New Game+"" starting on July 16, 2017."
animeRelated	['Ponkotsuland Saga']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
