animeTitle	b'Magic-Kyun! Renaissance'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.03
animeUsers	17306
animeRank	
animePopularity	
animeDescription	"b""A world where art becomes magic. In this world, people who can inspire passion with their Magic Arts are called Artistas, and are employed in show business. In Hoshinomori Private Magical Arts High School, where Artistas are taught, a strange new student named Kohana Aigasaki transfers into the school.\n\nKohana is placed on the planning committee for the school's yearly Hoshinomori Summer Festa cultural festival. She spends her romantic school life with six other boys who aim to become entertainers in the future. Each of the boys specializes in his own Arts, and aims to make Hoshi Fes a success. In addition, the boys also aim to be chosen alongside Kohana as the school's Artista Prince and Princess, only chosen once a year.\n\nA Magic-kyun for you! A new renaissance starts here! Magic-kyun! Renaissance is a multimedia project where you can create great memories with Artistas of greatly varying personalities!\n\n(Source: Official site) """
animeRelated	[b'Magic-kyun! Renaissance', b'Kimi ni Maji Kyun!', b'Magic-kyun! First Live: Hoshinomori Summer Festa 2017 Encore Animation']
animeCharacters	[b'Ichijouji, Teika', b'Tsukushi, Monet', b'Aigasaki, Kohana', b'Hibiki, Kanato', b'Suminomiya, Aoi', b'Tatewaki, Rintarou', b'Anjou, Rui', b'Chikamatsu, Juri', b'Aigasaki, Sakura', b'Toudou, Chieri']
animeVoices	[b'\nUmehara, Yuuichirou\nJapanese\n', b'\nAoi, Shouta\nJapanese\n', b'\nSenbongi, Sayaka\nJapanese\n', b'\nEguchi, Takuya\nJapanese\n', b'\nKENN\nJapanese\n', b'\nOno, Yuuki\nJapanese\n', b'\nHatano, Wataru\nJapanese\n', b'\nMinagawa, Junko\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamazaki, Mitsue\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nKoshida, Tomoaki\n\nEpisode Director, Storyboard\n\n', b'\nKonparu, Tomoko\n\nScript\n\n']
