animeTitle	Tsuru Shitae Waka Kan
animeType	Movie
animeNumEpisode	1
releaseDate	2011-01-01 00:00:00
endDate	
animeNumMembers	558
animeScore	4.92
animeUsers	280
animeRank	11553
animePopularity	12672
animeDescription	"Spans 13 meters 53 cm long picture scroll painting by Sotatsu Tawaraya, ""Tsuru shitae waka kan (Anthology with Cranes)"" (17th Century) is a unique painting to evoke the moving image.
Yamamura try to decipher this ""Anthology with Cranes"" and the intent of Sotatsu Tawaraya, finished in experimental work and interpret it as animation.

(Source: Yamamura Animation)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
