animeTitle	b'Megami Tantei Vinus File'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.31
animeUsers	228
animeRank	
animePopularity	
animeDescription	b'When this beautiful detective duo takes on a new case involving drugs and rape, it brings back painful memories for Rio, whose sister was killed by a gang of sex-starved drug dealers. Could the same gang be responsible for this new threat? Hot-headed as she is, Rio must learn to control her anger in order to uncover the truth.\n\n(Source: AniDB)'
animeRelated	[b'Megami Tantei -Vinus File-', b'Shin-ban Megami Tantei Vinus File']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
