animeTitle	b'Sekai de Ichiban Tsuyoku Naritai!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.79
animeUsers	13777
animeRank	
animePopularity	
animeDescription	b'Hagiwara Sakura and Miyazawa Elena are the leading members of a popular idol group, Sweet Diva. One day, Elena is injured by the attack of a female pro-wrestler Kazama Rio during the recording of a TV program. Sakura gets mad at Rio and gives her a dropkick. To avenge Elena, Sakura enters the female pro-wrestling matches.'
animeRelated	[b'Sekai de Ichiban Tsuyoku Naritai!', b'Sekai de Ichiban Tsuyoku Naritai! Specials']
animeCharacters	[b'Hagiwara, Sakura', b'Miyazawa, Elena', b'Kazama, Rio', b'Toyoda, Misaki', b'Toujou, Mariko', b'Kirishima, Makoto', b'Hayase, Aika', b'Sanada, Juri', b'Komiyama, Kurea', b'Inoba, Seiichi']
animeVoices	[b'\nTaketatsu, Ayana\nJapanese\n', b'\nAsumi, Kana\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nNarumi, Kyoko\nJapanese\n', b'\nTakahashi, Chiaki\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nAmamiya, Sora\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nUesaka, Sumire\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKujou, Rion\n\nDirector\n\n', b'\nAmamiya, Sora\n\nTheme Song Performance\n\n', b'\nTaketatsu, Ayana\n\nTheme Song Performance, Inserted Song Performance\n\n', b'\nItou, Miku\n\nTheme Song Performance\n\n']
