animeTitle	Mashin Eiyuuden Wataru
animeType	TV
animeNumEpisode	45
releaseDate	
endDate	
animeNumMembers	
animeScore	6.9
animeUsers	592
animeRank	
animePopularity	9009
animeDescription	"A 9-year-old boy named Wataru Ikusabe is magically transported to a magical realm of the gods called Soukaizan which he is supposed to save. In his quest to save the realm, he manages to transform a clay sculpture into a somewhat autonomous (small) Super Robot.

(Source: Wikipedia)"
animeRelated	['Chou Mashin Eiyuuden Wataru', 'Shin Mashin Eiyuuden Wataru Majinzan', 'Mashin Eiyuuden Wataru: Soukaizan Eiyuu Densetsu']
animeCharacters	['Shinobibe, Himiko', 'Ikusabe, Wataru', 'Toraou', 'Tsurugibe, Shibaraku', 'Umihiko', 'Ryuujinmaru', 'Wataribe, Kurama']
animeVoices	['Hayashibara, Megumi', 'Tanaka, Mayumi', 'Nishimura, Tomomichi', 'Takano, Urara', 'Genda, Tesshou', 'Yamadera, Kouichi']
animeStaff	[['Iuchi, Shuji', 'Director, Script, Storyboard, Series Composition'], ['Fukuda, Mitsuo', 'Episode Director, Storyboard'], ['Koumoto, Shougo', 'Episode Director, Storyboard'], ['Kagawa, Yutaka', 'Episode Director, Storyboard']]
