animeTitle	Hidamari Sketch Specials
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.53
animeUsers	10355
animeRank	
animePopularity	4116
animeDescription	Sequel of the Hidamari Sketch TV series.
animeRelated	['Hidamari Sketch', 'Hidamari Sketch x 365']
animeCharacters	['Miyako', 'Yuno', 'Sae', 'Hiro', 'Yoshinoya', 'Natsume', 'The Principal', 'Ume', 'Oyasan', 'Kuwahara']
animeVoices	['Mizuhashi, Kaori', 'Asumi, Kana', 'Shintani, Ryouko', 'Gotou, Yuuko', 'Matsuki, Miyu', 'Fukuen, Misato', 'Cho', 'Aoki, Ume', 'Sawashiro, Miyuki', 'Kigawa, Eriko']
animeStaff	[['Iwakami, Atsuhiro', 'Producer'], ['Ooshima, Miku', 'Assistant Producer'], ['Shinbou, Akiyuki', 'Director, Storyboard'], ['Kamitsubo, Ryouki', 'Director']]
