animeTitle	b'Hikaru Machi e'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Music video for the song Hikaru Machi e by Sayonara Ponytail.'
animeRelated	[b'Dance Floor to Kabocha no Obake']
animeCharacters	[b'Yuyu', b'Shuka', b'Ayumin', b'Nacchan', b'Miina', b'Megu', b'324P']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSayonara Ponytail\n\nTheme Song Performance\n\n']
