animeTitle	Fresh Precure! Movie: Omocha no Kuni wa Himitsu ga Ippai!?
animeType	Movie
animeNumEpisode	1
releaseDate	2009-10-31 00:00:00
endDate	
animeNumMembers	4083
animeScore	6.66
animeUsers	1755
animeRank	5280
animePopularity	7582
animeDescription	"After resolving the problems in the Labyrinth Kingdom, Love Momozono and her friends live a happy life and continue their dance training. Suddenly, the town children's toys start to go missing and the girls agree to help find them. Love Momozono's stuffed rabbit then comes to life and tells the Cures that the Toymajin is responsible. The Fresh Pretty Cure cast then travel to the Kingdom of Toys to save the day!

(Source: bakabt)"
animeRelated	['Fresh Precure!']
animeCharacters	['Higashi, Setsuna', 'Momozono, Love', 'Yamabuki, Inori', 'Aono, Miki', 'Chiffon', 'Tart', 'Toymajin ', 'Usapyon', 'Tachibana, Kaoru', 'Cymbal Monkey']
animeVoices	['Komatsu, Yuka', 'Oki, Kanae', 'Nakagawa, Akiko', 'Kitamura, Eri', 'Koorogi, Satomi', 'Matsuno, Taiki', 'Sakamoto, Chika', 'Tsuru, Hiromi', 'Maeda, Ken', 'Yabe, Masahito']
animeStaff	[['Shimizu, Junji', 'Director'], ['Hayashi, Momoko', 'Theme Song Performance'], ['Takanashi, Yasuharu', 'Music'], ['Nishii, Terumi', 'Key Animation']]
