animeTitle	Tokyo Daigaku Monogatari
animeType	OVA
animeNumEpisode	2
releaseDate	2004-02-24 00:00:00
endDate	2004-03-24 00:00:00
animeNumMembers	3067
animeScore	4.92
animeUsers	1159
animeRank	11551
animePopularity	8326
animeDescription	"Based on long running manga by Tatsuya Egawa (Golden Boy). It tells the tale of final-year high-schooler, Murakami Naoki who falls for Mizuno Haruka as they make university entrance exams preparations. 

(Source: AniDB)"
animeRelated	['Tokyo Daigaku Monogatari']
animeCharacters	['Mizuno, Haruka']
animeVoices	[]
animeStaff	[['Fujimoto, Jirou', 'Director, Episode Director, Script, Storyboard, Screenplay'], ['Egawa, Tatsuya', 'Original Creator'], ['Sekiya, Yoshihiro', 'Director of Photography'], ['Arai, Kazuhiro', 'Art Director']]
