animeTitle	b'Prism Magical: Prism Generations!'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.05
animeUsers	1126
animeRank	
animePopularity	
animeDescription	"b'* An exclusive OVA produced for PAJAMAS SOFT 10th Anniversary-Project Prism Magical: Prism Generations! and included with the professional package of the game.\n\nThere is a small town on the sea. Raika just enjoys his school life with Ibuki, his old friend, and Yuri, his maid. However, his father is actually a magical girl (?). Also, a group of magical girls come to his school to look for a treasure stone called Mana Prism. Though he doesn\'t want to wear a girl\'s costume, he is forced to be a magical girl as well! ""Come back, my peaceful life!"" To save his school, his battle against the magical girls starts now! \n\n(Source: AniDB)'"
animeRelated	[b'Prism Ark']
animeCharacters	[b'Onodera, Toujin', b'Wachi, Yuri', b'Onodera, Raika', b'Petit, Hime', b'Ibuki, Mikanagi', b'Bob', b'Michal', b'Harold', b'Huka', b'Mikobata, Sakura']
animeVoices	[b'\nImai, Asami\nJapanese\n', b'\nNabatame, Hitomi\nJapanese\n', b'\nSakakibara, Yui\nJapanese\n', b'\nKuroda, Takaya\nJapanese\n', b'\nFujimura, Ayumi\nJapanese\n', b'\nKoyama, Kimiko\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nOobari, Masami\n\nDirector, Episode Director, Storyboard, Key Animation\n\n', b'\nSakakibara, Yui\n\nTheme Song Performance\n\n', b""\nI've sound\n\nMusic\n\n"", b'\nSaitou, Maki\n\nColor Design\n\n']"
