animeTitle	Redial
animeType	Music
animeNumEpisode	1
releaseDate	2013-03-20 00:00:00
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	1787
animeRank	
animePopularity	8418
animeDescription	"""Redial"" is the title track of livetune's 2013 compilation album Re:Dial featuring Hatsune Miku. An animated music video of the song was included in a limited edition DVD sold with the album."
animeRelated	[]
animeCharacters	['Hatsune, Miku']
animeVoices	[]
animeStaff	[['Murakami, Takashi', 'Director'], ['Hatsune, Miku', 'Theme Song Performance'], ['kz', 'Theme Song Composition, Theme Song Lyrics, Theme Song Arrangement'], ['mebae', 'Character Design, Key Animation']]
