animeTitle	Miyuki
animeType	TV
animeNumEpisode	37
releaseDate	
endDate	
animeNumMembers	
animeScore	6.71
animeUsers	701
animeRank	
animePopularity	8110
animeDescription	"Wakamatsu Masato lives with his step-sister, Miyuki, whom he does not have blood relationship with. Their father is always working oversea and left the two of them living by themselves in Toukyou. Miyuki is cute, nice, sensitive and very popular among guys around Masato. Masato has a girlfriend at school whose name is Kajima Miyuki, who is pretty and gentle, the ideal dream of every highschool boy.

(Source: AnimeNfo)"
animeRelated	['Miyuki']
animeCharacters	['Wakamatsu, Miyuki', 'Wakamatsu, Masato', 'Kashima, Miyuki', 'Muraki, Yoshio', 'Nakata, Torao', 'Kousaka, Kenji', 'Kashima, Mother', 'Masaki, Ryuuichi', 'Kashima, Yasujirou']
animeVoices	['Oginome, Youko', 'Toriumi, Katsumi', 'Tsuru, Hiromi', 'Shiozawa, Kaneto', 'Genda, Tesshou', 'Mori, Katsuji', 'Ueda, Miyuki', 'Oobayashi, Ryuusuke', 'Tomiyama, Kei']
animeStaff	[['Nishikubo, Mizuho', 'Director, Script'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Kogawa, Yoriyasu', 'Episode Director'], ['Tokita, Hiroko', 'Episode Director']]
